year,country,country_code,infant_mortality_rate,isRegion
1991,Eswatini,SWZ,51,
1992,Eswatini,SWZ,51.6,
1993,Eswatini,SWZ,53.2,
1994,Eswatini,SWZ,55.3,
1995,Eswatini,SWZ,57.6,
1996,Eswatini,SWZ,59.8,
1997,Eswatini,SWZ,61.8,
1998,Eswatini,SWZ,63.9,
1999,Eswatini,SWZ,65.9,
2000,Eswatini,SWZ,67.8,
2001,Eswatini,SWZ,69,
2002,Eswatini,SWZ,69.6,
2003,Eswatini,SWZ,69.8,
2004,Eswatini,SWZ,69.1,
2005,Eswatini,SWZ,68.3,
2006,Eswatini,SWZ,58.8,
2007,Eswatini,SWZ,59.3,
2008,Eswatini,SWZ,61.1,
2009,Eswatini,SWZ,57.9,
2010,Eswatini,SWZ,54.7,
2011,Eswatini,SWZ,51.5,
2012,Eswatini,SWZ,50.6,
2013,Eswatini,SWZ,49.5,
2014,Eswatini,SWZ,50.1,
2015,Eswatini,SWZ,45.2,
2016,Eswatini,SWZ,42.6,
2017,Eswatini,SWZ,43.5,
2018,Eswatini,SWZ,39.4,
2019,Eswatini,SWZ,37.7,
2020,Eswatini,SWZ,37.4,
1960,Mauritania,MRT,130.4,
1961,Mauritania,MRT,127.6,
1962,Mauritania,MRT,124.9,
1963,Mauritania,MRT,122.1,
1964,Mauritania,MRT,119.3,
1965,Mauritania,MRT,116.5,
1966,Mauritania,MRT,113.8,
1967,Mauritania,MRT,111.1,
1968,Mauritania,MRT,108.5,
1969,Mauritania,MRT,106.4,
1970,Mauritania,MRT,105,
1971,Mauritania,MRT,104.1,
1972,Mauritania,MRT,103.7,
1973,Mauritania,MRT,103.4,
1974,Mauritania,MRT,103,
1975,Mauritania,MRT,102.1,
1976,Mauritania,MRT,100.7,
1977,Mauritania,MRT,98.9,
1978,Mauritania,MRT,96.8,
1979,Mauritania,MRT,94.7,
1980,Mauritania,MRT,92.6,
1981,Mauritania,MRT,90.5,
1982,Mauritania,MRT,88.4,
1983,Mauritania,MRT,86.2,
1984,Mauritania,MRT,83.7,
1985,Mauritania,MRT,81.1,
1986,Mauritania,MRT,78.6,
1987,Mauritania,MRT,76.3,
1988,Mauritania,MRT,74.2,
1989,Mauritania,MRT,72.6,
1990,Mauritania,MRT,71.4,
1991,Mauritania,MRT,70.6,
1992,Mauritania,MRT,70,
1993,Mauritania,MRT,69.6,
1994,Mauritania,MRT,69.5,
1995,Mauritania,MRT,69.4,
1996,Mauritania,MRT,69.5,
1997,Mauritania,MRT,69.4,
1998,Mauritania,MRT,69.4,
1999,Mauritania,MRT,69.3,
2000,Mauritania,MRT,69.1,
2001,Mauritania,MRT,68.9,
2002,Mauritania,MRT,68.6,
2003,Mauritania,MRT,68.3,
2004,Mauritania,MRT,67.8,
2005,Mauritania,MRT,67,
2006,Mauritania,MRT,66.1,
2007,Mauritania,MRT,65,
2008,Mauritania,MRT,63.8,
2009,Mauritania,MRT,62.5,
2010,Mauritania,MRT,61.2,
2011,Mauritania,MRT,60,
2012,Mauritania,MRT,58.8,
2013,Mauritania,MRT,57.5,
2014,Mauritania,MRT,56.2,
2015,Mauritania,MRT,55,
2016,Mauritania,MRT,53.8,
2017,Mauritania,MRT,52.6,
2018,Mauritania,MRT,51.5,
2019,Mauritania,MRT,50.2,
2020,Mauritania,MRT,49,
1971,Moldova,MDA,49.5,
1972,Moldova,MDA,48.3,
1973,Moldova,MDA,47.1,
1974,Moldova,MDA,45.9,
1975,Moldova,MDA,44.7,
1976,Moldova,MDA,43.6,
1977,Moldova,MDA,42.5,
1978,Moldova,MDA,41.4,
1979,Moldova,MDA,40.5,
1980,Moldova,MDA,39.5,
1981,Moldova,MDA,38.5,
1982,Moldova,MDA,37.2,
1983,Moldova,MDA,35.8,
1984,Moldova,MDA,34.3,
1985,Moldova,MDA,32.8,
1986,Moldova,MDA,31.3,
1987,Moldova,MDA,29.9,
1988,Moldova,MDA,28.8,
1989,Moldova,MDA,28,
1990,Moldova,MDA,27.7,
1991,Moldova,MDA,27.9,
1992,Moldova,MDA,28.7,
1993,Moldova,MDA,29.7,
1994,Moldova,MDA,30.7,
1995,Moldova,MDA,31.4,
1996,Moldova,MDA,31.6,
1997,Moldova,MDA,31.1,
1998,Moldova,MDA,30,
1999,Moldova,MDA,28.3,
2000,Moldova,MDA,26.2,
2001,Moldova,MDA,23.9,
2002,Moldova,MDA,21.7,
2003,Moldova,MDA,19.8,
2004,Moldova,MDA,18.3,
2005,Moldova,MDA,17.1,
2006,Moldova,MDA,16.3,
2007,Moldova,MDA,15.7,
2008,Moldova,MDA,15.3,
2009,Moldova,MDA,15,
2010,Moldova,MDA,14.7,
2011,Moldova,MDA,14.5,
2012,Moldova,MDA,14.2,
2013,Moldova,MDA,14,
2014,Moldova,MDA,13.7,
2015,Moldova,MDA,13.6,
2016,Moldova,MDA,13.3,
2017,Moldova,MDA,13.1,
2018,Moldova,MDA,12.9,
2019,Moldova,MDA,12.7,
2020,Moldova,MDA,12.5,
1978,Mongolia,MNG,118.8,
1979,Mongolia,MNG,115.1,
1980,Mongolia,MNG,111.5,
1981,Mongolia,MNG,107.9,
1982,Mongolia,MNG,104.4,
1983,Mongolia,MNG,101,
1984,Mongolia,MNG,97.6,
1985,Mongolia,MNG,94,
1986,Mongolia,MNG,90.4,
1987,Mongolia,MNG,86.7,
1988,Mongolia,MNG,83.2,
1989,Mongolia,MNG,79.8,
1990,Mongolia,MNG,76.7,
1991,Mongolia,MNG,73.8,
1992,Mongolia,MNG,71.2,
1993,Mongolia,MNG,68.6,
1994,Mongolia,MNG,66.1,
1995,Mongolia,MNG,63.6,
1996,Mongolia,MNG,60.9,
1997,Mongolia,MNG,58,
1998,Mongolia,MNG,55,
1999,Mongolia,MNG,51.9,
2000,Mongolia,MNG,48.6,
2001,Mongolia,MNG,45.3,
2002,Mongolia,MNG,42,
2003,Mongolia,MNG,38.9,
2004,Mongolia,MNG,35.9,
2005,Mongolia,MNG,33.1,
2006,Mongolia,MNG,30.5,
2007,Mongolia,MNG,28.1,
2008,Mongolia,MNG,25.9,
2009,Mongolia,MNG,23.9,
2010,Mongolia,MNG,22.1,
2011,Mongolia,MNG,20.6,
2012,Mongolia,MNG,19.4,
2013,Mongolia,MNG,18.3,
2014,Mongolia,MNG,17.4,
2015,Mongolia,MNG,16.6,
2016,Mongolia,MNG,15.9,
2017,Mongolia,MNG,15.1,
2018,Mongolia,MNG,14.4,
2019,Mongolia,MNG,13.8,
2020,Mongolia,MNG,13.2,
1980,Estonia,EST,17.7,
1981,Estonia,EST,17.1,
1982,Estonia,EST,16.5,
1983,Estonia,EST,15.9,
1984,Estonia,EST,15.5,
1985,Estonia,EST,15.1,
1986,Estonia,EST,14.7,
1987,Estonia,EST,14.5,
1988,Estonia,EST,14.3,
1989,Estonia,EST,14.1,
1990,Estonia,EST,14,
1991,Estonia,EST,13.8,
1992,Estonia,EST,13.7,
1993,Estonia,EST,13.4,
1994,Estonia,EST,12.9,
1995,Estonia,EST,12.4,
1996,Estonia,EST,11.7,
1997,Estonia,EST,10.9,
1998,Estonia,EST,10.1,
1999,Estonia,EST,9.4,
2000,Estonia,EST,8.7,
2001,Estonia,EST,8,
2002,Estonia,EST,7.3,
2003,Estonia,EST,6.7,
2004,Estonia,EST,6.2,
2005,Estonia,EST,5.7,
2006,Estonia,EST,5.2,
2007,Estonia,EST,4.7,
2008,Estonia,EST,4.3,
2009,Estonia,EST,4,
2010,Estonia,EST,3.6,
2011,Estonia,EST,3.3,
2012,Estonia,EST,3,
2013,Estonia,EST,2.8,
2014,Estonia,EST,2.6,
2015,Estonia,EST,2.4,
2016,Estonia,EST,2.2,
2017,Estonia,EST,2.1,
2018,Estonia,EST,1.9,
2019,Estonia,EST,1.8,
2020,Estonia,EST,1.7,
1960,Micronesia Fed. Sts.,FSM,88.1,
1961,Micronesia Fed. Sts.,FSM,84.9,
1962,Micronesia Fed. Sts.,FSM,81.7,
1963,Micronesia Fed. Sts.,FSM,78.7,
1964,Micronesia Fed. Sts.,FSM,75.8,
1965,Micronesia Fed. Sts.,FSM,73,
1966,Micronesia Fed. Sts.,FSM,70.3,
1967,Micronesia Fed. Sts.,FSM,67.7,
1968,Micronesia Fed. Sts.,FSM,65.4,
1969,Micronesia Fed. Sts.,FSM,63,
1970,Micronesia Fed. Sts.,FSM,60.9,
1971,Micronesia Fed. Sts.,FSM,58.9,
1972,Micronesia Fed. Sts.,FSM,57.1,
1973,Micronesia Fed. Sts.,FSM,55.4,
1974,Micronesia Fed. Sts.,FSM,53.8,
1975,Micronesia Fed. Sts.,FSM,52.4,
1976,Micronesia Fed. Sts.,FSM,51,
1977,Micronesia Fed. Sts.,FSM,49.8,
1978,Micronesia Fed. Sts.,FSM,48.8,
1979,Micronesia Fed. Sts.,FSM,47.9,
1980,Micronesia Fed. Sts.,FSM,47.1,
1981,Micronesia Fed. Sts.,FSM,46.5,
1982,Micronesia Fed. Sts.,FSM,46,
1983,Micronesia Fed. Sts.,FSM,45.5,
1984,Micronesia Fed. Sts.,FSM,44.8,
1985,Micronesia Fed. Sts.,FSM,44.1,
1986,Micronesia Fed. Sts.,FSM,43.2,
1987,Micronesia Fed. Sts.,FSM,42.1,
1988,Micronesia Fed. Sts.,FSM,40.9,
1989,Micronesia Fed. Sts.,FSM,39.9,
1990,Micronesia Fed. Sts.,FSM,38.9,
1991,Micronesia Fed. Sts.,FSM,38,
1992,Micronesia Fed. Sts.,FSM,37.2,
1993,Micronesia Fed. Sts.,FSM,36.6,
1994,Micronesia Fed. Sts.,FSM,36,
1995,Micronesia Fed. Sts.,FSM,35.2,
1996,Micronesia Fed. Sts.,FSM,34.4,
1997,Micronesia Fed. Sts.,FSM,33.6,
1998,Micronesia Fed. Sts.,FSM,32.6,
1999,Micronesia Fed. Sts.,FSM,31.7,
2000,Micronesia Fed. Sts.,FSM,30.8,
2001,Micronesia Fed. Sts.,FSM,30,
2002,Micronesia Fed. Sts.,FSM,29.4,
2003,Micronesia Fed. Sts.,FSM,29,
2004,Micronesia Fed. Sts.,FSM,28.7,
2005,Micronesia Fed. Sts.,FSM,28.6,
2006,Micronesia Fed. Sts.,FSM,28.5,
2007,Micronesia Fed. Sts.,FSM,28.4,
2008,Micronesia Fed. Sts.,FSM,28.2,
2009,Micronesia Fed. Sts.,FSM,27.8,
2010,Micronesia Fed. Sts.,FSM,27.4,
2011,Micronesia Fed. Sts.,FSM,26.8,
2012,Micronesia Fed. Sts.,FSM,26.2,
2013,Micronesia Fed. Sts.,FSM,25.6,
2014,Micronesia Fed. Sts.,FSM,24.9,
2015,Micronesia Fed. Sts.,FSM,24.2,
2016,Micronesia Fed. Sts.,FSM,23.5,
2017,Micronesia Fed. Sts.,FSM,22.7,
2018,Micronesia Fed. Sts.,FSM,22.1,
2019,Micronesia Fed. Sts.,FSM,21.5,
2020,Micronesia Fed. Sts.,FSM,20.9,
1982,Equatorial Guinea,GNQ,134.7,
1983,Equatorial Guinea,GNQ,132.2,
1984,Equatorial Guinea,GNQ,129.6,
1985,Equatorial Guinea,GNQ,127.3,
1986,Equatorial Guinea,GNQ,125.4,
1987,Equatorial Guinea,GNQ,123.9,
1988,Equatorial Guinea,GNQ,122.7,
1989,Equatorial Guinea,GNQ,121.6,
1990,Equatorial Guinea,GNQ,120.6,
1991,Equatorial Guinea,GNQ,119.7,
1992,Equatorial Guinea,GNQ,118.9,
1993,Equatorial Guinea,GNQ,118.1,
1994,Equatorial Guinea,GNQ,117.3,
1995,Equatorial Guinea,GNQ,116.3,
1996,Equatorial Guinea,GNQ,115.1,
1997,Equatorial Guinea,GNQ,113.6,
1998,Equatorial Guinea,GNQ,111.7,
1999,Equatorial Guinea,GNQ,109.5,
2000,Equatorial Guinea,GNQ,107.1,
2001,Equatorial Guinea,GNQ,104.4,
2002,Equatorial Guinea,GNQ,101.7,
2003,Equatorial Guinea,GNQ,99,
2004,Equatorial Guinea,GNQ,96.1,
2005,Equatorial Guinea,GNQ,93.2,
2006,Equatorial Guinea,GNQ,90.3,
2007,Equatorial Guinea,GNQ,87.4,
2008,Equatorial Guinea,GNQ,84.5,
2009,Equatorial Guinea,GNQ,81.7,
2010,Equatorial Guinea,GNQ,79.1,
2011,Equatorial Guinea,GNQ,76.7,
2012,Equatorial Guinea,GNQ,74.3,
2013,Equatorial Guinea,GNQ,72.1,
2014,Equatorial Guinea,GNQ,69.9,
2015,Equatorial Guinea,GNQ,67.6,
2016,Equatorial Guinea,GNQ,65.6,
2017,Equatorial Guinea,GNQ,63.6,
2018,Equatorial Guinea,GNQ,61.7,
2019,Equatorial Guinea,GNQ,60,
2020,Equatorial Guinea,GNQ,58.3,
1960,France,FRA,23.6,
1961,France,FRA,22.4,
1962,France,FRA,21.4,
1963,France,FRA,20.4,
1964,France,FRA,19.4,
1965,France,FRA,18.6,
1966,France,FRA,17.8,
1967,France,FRA,17.2,
1968,France,FRA,16.5,
1969,France,FRA,15.8,
1970,France,FRA,15.1,
1971,France,FRA,14.3,
1972,France,FRA,13.6,
1973,France,FRA,13.1,
1974,France,FRA,12.7,
1975,France,FRA,12.3,
1976,France,FRA,11.9,
1977,France,FRA,11.4,
1978,France,FRA,10.9,
1979,France,FRA,10.5,
1980,France,FRA,10.1,
1981,France,FRA,9.8,
1982,France,FRA,9.4,
1983,France,FRA,9.1,
1984,France,FRA,8.8,
1985,France,FRA,8.5,
1986,France,FRA,8.3,
1987,France,FRA,8.1,
1988,France,FRA,7.9,
1989,France,FRA,7.7,
1990,France,FRA,7.5,
1991,France,FRA,7.1,
1992,France,FRA,6.7,
1993,France,FRA,6.2,
1994,France,FRA,5.7,
1995,France,FRA,5.3,
1996,France,FRA,4.9,
1997,France,FRA,4.6,
1998,France,FRA,4.4,
1999,France,FRA,4.3,
2000,France,FRA,4.1,
2001,France,FRA,3.9,
2002,France,FRA,3.7,
2003,France,FRA,3.6,
2004,France,FRA,3.4,
2005,France,FRA,3.3,
2006,France,FRA,3.3,
2007,France,FRA,3.2,
2008,France,FRA,3.2,
2009,France,FRA,3.1,
2010,France,FRA,3.1,
2011,France,FRA,3.1,
2012,France,FRA,3.1,
2013,France,FRA,3.1,
2014,France,FRA,3.1,
2015,France,FRA,3.2,
2016,France,FRA,3.2,
2017,France,FRA,3.3,
2018,France,FRA,3.4,
2019,France,FRA,3.4,
2020,France,FRA,3.4,
1960,Fiji,FJI,58.4,
1961,Fiji,FJI,56,
1962,Fiji,FJI,53.9,
1963,Fiji,FJI,51.9,
1964,Fiji,FJI,50,
1965,Fiji,FJI,48.4,
1966,Fiji,FJI,46.9,
1967,Fiji,FJI,45.8,
1968,Fiji,FJI,44.9,
1969,Fiji,FJI,44.4,
1970,Fiji,FJI,44,
1971,Fiji,FJI,43.7,
1972,Fiji,FJI,43.6,
1973,Fiji,FJI,43.3,
1974,Fiji,FJI,42.9,
1975,Fiji,FJI,42.2,
1976,Fiji,FJI,41.3,
1977,Fiji,FJI,40.1,
1978,Fiji,FJI,38.8,
1979,Fiji,FJI,37.3,
1980,Fiji,FJI,35.7,
1981,Fiji,FJI,34.2,
1982,Fiji,FJI,32.7,
1983,Fiji,FJI,31.4,
1984,Fiji,FJI,30.1,
1985,Fiji,FJI,29,
1986,Fiji,FJI,28,
1987,Fiji,FJI,27,
1988,Fiji,FJI,26,
1989,Fiji,FJI,25.1,
1990,Fiji,FJI,24.2,
1991,Fiji,FJI,23.4,
1992,Fiji,FJI,22.6,
1993,Fiji,FJI,21.9,
1994,Fiji,FJI,21.3,
1995,Fiji,FJI,20.7,
1996,Fiji,FJI,20.2,
1997,Fiji,FJI,19.8,
1998,Fiji,FJI,19.5,
1999,Fiji,FJI,19.2,
2000,Fiji,FJI,19.1,
2001,Fiji,FJI,19,
2002,Fiji,FJI,19,
2003,Fiji,FJI,19.2,
2004,Fiji,FJI,19.4,
2005,Fiji,FJI,19.7,
2006,Fiji,FJI,19.9,
2007,Fiji,FJI,20.1,
2008,Fiji,FJI,20.2,
2009,Fiji,FJI,20.1,
2010,Fiji,FJI,20,
2011,Fiji,FJI,20,
2012,Fiji,FJI,20,
2013,Fiji,FJI,20.1,
2014,Fiji,FJI,20.3,
2015,Fiji,FJI,20.6,
2016,Fiji,FJI,21.1,
2017,Fiji,FJI,21.5,
2018,Fiji,FJI,22.1,
2019,Fiji,FJI,22.6,
2020,Fiji,FJI,23,
1966,Ethiopia,ETH,147.2,
1967,Ethiopia,ETH,146.9,
1968,Ethiopia,ETH,146.6,
1969,Ethiopia,ETH,146.4,
1970,Ethiopia,ETH,146.1,
1971,Ethiopia,ETH,145.9,
1972,Ethiopia,ETH,145.6,
1973,Ethiopia,ETH,145.4,
1974,Ethiopia,ETH,145.3,
1975,Ethiopia,ETH,145.2,
1976,Ethiopia,ETH,145,
1977,Ethiopia,ETH,144.7,
1978,Ethiopia,ETH,144.1,
1979,Ethiopia,ETH,143.3,
1980,Ethiopia,ETH,142.1,
1981,Ethiopia,ETH,140.6,
1982,Ethiopia,ETH,138.6,
1983,Ethiopia,ETH,136.2,
1984,Ethiopia,ETH,133.7,
1985,Ethiopia,ETH,131.3,
1986,Ethiopia,ETH,129,
1987,Ethiopia,ETH,126.8,
1988,Ethiopia,ETH,124.6,
1989,Ethiopia,ETH,122.3,
1990,Ethiopia,ETH,119.8,
1991,Ethiopia,ETH,117.1,
1992,Ethiopia,ETH,114.2,
1993,Ethiopia,ETH,111,
1994,Ethiopia,ETH,107.4,
1995,Ethiopia,ETH,103.9,
1996,Ethiopia,ETH,100.4,
1997,Ethiopia,ETH,96.9,
1998,Ethiopia,ETH,93.6,
1999,Ethiopia,ETH,90.3,
2000,Ethiopia,ETH,87.2,
2001,Ethiopia,ETH,83.8,
2002,Ethiopia,ETH,80.3,
2003,Ethiopia,ETH,76.7,
2004,Ethiopia,ETH,73.1,
2005,Ethiopia,ETH,69.5,
2006,Ethiopia,ETH,66.1,
2007,Ethiopia,ETH,62.8,
2008,Ethiopia,ETH,59.8,
2009,Ethiopia,ETH,57,
2010,Ethiopia,ETH,54.3,
2011,Ethiopia,ETH,51.9,
2012,Ethiopia,ETH,49.5,
2013,Ethiopia,ETH,47.3,
2014,Ethiopia,ETH,45.2,
2015,Ethiopia,ETH,43.2,
2016,Ethiopia,ETH,41.3,
2017,Ethiopia,ETH,39.5,
2018,Ethiopia,ETH,38,
2019,Ethiopia,ETH,36.6,
2020,Ethiopia,ETH,35.4,
1960,Gambia,GMB,152.4,
1961,Gambia,GMB,149.7,
1962,Gambia,GMB,147.3,
1963,Gambia,GMB,144.7,
1964,Gambia,GMB,142.3,
1965,Gambia,GMB,139.8,
1966,Gambia,GMB,137.5,
1967,Gambia,GMB,135.1,
1968,Gambia,GMB,132.7,
1969,Gambia,GMB,130.4,
1970,Gambia,GMB,128,
1971,Gambia,GMB,125.7,
1972,Gambia,GMB,123.2,
1973,Gambia,GMB,120.8,
1974,Gambia,GMB,118.3,
1975,Gambia,GMB,115.8,
1976,Gambia,GMB,113.4,
1977,Gambia,GMB,111,
1978,Gambia,GMB,108.7,
1979,Gambia,GMB,106.4,
1980,Gambia,GMB,104.1,
1981,Gambia,GMB,101.9,
1982,Gambia,GMB,99.5,
1983,Gambia,GMB,97.1,
1984,Gambia,GMB,94.7,
1985,Gambia,GMB,92.3,
1986,Gambia,GMB,90,
1987,Gambia,GMB,87.6,
1988,Gambia,GMB,85.4,
1989,Gambia,GMB,83.2,
1990,Gambia,GMB,81.2,
1991,Gambia,GMB,79.1,
1992,Gambia,GMB,77.1,
1993,Gambia,GMB,75.1,
1994,Gambia,GMB,73,
1995,Gambia,GMB,71,
1996,Gambia,GMB,69,
1997,Gambia,GMB,67.1,
1998,Gambia,GMB,65.2,
1999,Gambia,GMB,63.4,
2000,Gambia,GMB,61.6,
2001,Gambia,GMB,59.8,
2002,Gambia,GMB,58.1,
2003,Gambia,GMB,56.4,
2004,Gambia,GMB,54.7,
2005,Gambia,GMB,53.1,
2006,Gambia,GMB,51.5,
2007,Gambia,GMB,50,
2008,Gambia,GMB,48.6,
2009,Gambia,GMB,47.1,
2010,Gambia,GMB,45.8,
2011,Gambia,GMB,44.5,
2012,Gambia,GMB,43.2,
2013,Gambia,GMB,42,
2014,Gambia,GMB,40.9,
2015,Gambia,GMB,39.7,
2016,Gambia,GMB,38.6,
2017,Gambia,GMB,37.5,
2018,Gambia,GMB,36.5,
2019,Gambia,GMB,35.6,
2020,Gambia,GMB,34.7,
1968,Germany,DEU,23.4,
1969,Germany,DEU,22.7,
1970,Germany,DEU,22.1,
1971,Germany,DEU,21.3,
1972,Germany,DEU,20.6,
1973,Germany,DEU,19.7,
1974,Germany,DEU,18.8,
1975,Germany,DEU,17.7,
1976,Germany,DEU,16.6,
1977,Germany,DEU,15.5,
1978,Germany,DEU,14.4,
1979,Germany,DEU,13.5,
1980,Germany,DEU,12.6,
1981,Germany,DEU,11.8,
1982,Germany,DEU,11,
1983,Germany,DEU,10.3,
1984,Germany,DEU,9.8,
1985,Germany,DEU,9.2,
1986,Germany,DEU,8.7,
1987,Germany,DEU,8.3,
1988,Germany,DEU,7.8,
1989,Germany,DEU,7.4,
1990,Germany,DEU,7,
1991,Germany,DEU,6.6,
1992,Germany,DEU,6.2,
1993,Germany,DEU,5.8,
1994,Germany,DEU,5.5,
1995,Germany,DEU,5.3,
1996,Germany,DEU,5,
1997,Germany,DEU,4.8,
1998,Germany,DEU,4.7,
1999,Germany,DEU,4.5,
2000,Germany,DEU,4.4,
2001,Germany,DEU,4.3,
2002,Germany,DEU,4.2,
2003,Germany,DEU,4.1,
2004,Germany,DEU,4,
2005,Germany,DEU,3.9,
2006,Germany,DEU,3.8,
2007,Germany,DEU,3.7,
2008,Germany,DEU,3.6,
2009,Germany,DEU,3.5,
2010,Germany,DEU,3.5,
2011,Germany,DEU,3.4,
2012,Germany,DEU,3.4,
2013,Germany,DEU,3.3,
2014,Germany,DEU,3.3,
2015,Germany,DEU,3.3,
2016,Germany,DEU,3.3,
2017,Germany,DEU,3.3,
2018,Germany,DEU,3.2,
2019,Germany,DEU,3.2,
2020,Germany,DEU,3.1,
1960,Ghana,GHA,123.6,
1961,Ghana,GHA,122.5,
1962,Ghana,GHA,121.6,
1963,Ghana,GHA,120.9,
1964,Ghana,GHA,120.5,
1965,Ghana,GHA,120.4,
1966,Ghana,GHA,120.3,
1967,Ghana,GHA,120.5,
1968,Ghana,GHA,120.7,
1969,Ghana,GHA,120.7,
1970,Ghana,GHA,120.5,
1971,Ghana,GHA,119.8,
1972,Ghana,GHA,118.7,
1973,Ghana,GHA,116.9,
1974,Ghana,GHA,114.6,
1975,Ghana,GHA,112,
1976,Ghana,GHA,109.1,
1977,Ghana,GHA,106.5,
1978,Ghana,GHA,104.3,
1979,Ghana,GHA,102.7,
1980,Ghana,GHA,101.5,
1981,Ghana,GHA,100.7,
1982,Ghana,GHA,99.8,
1983,Ghana,GHA,98.7,
1984,Ghana,GHA,97,
1985,Ghana,GHA,94.9,
1986,Ghana,GHA,92.1,
1987,Ghana,GHA,89.1,
1988,Ghana,GHA,85.8,
1989,Ghana,GHA,82.6,
1990,Ghana,GHA,79.8,
1991,Ghana,GHA,77.5,
1992,Ghana,GHA,75.7,
1993,Ghana,GHA,74.4,
1994,Ghana,GHA,73.4,
1995,Ghana,GHA,72.5,
1996,Ghana,GHA,71.5,
1997,Ghana,GHA,70.2,
1998,Ghana,GHA,68.5,
1999,Ghana,GHA,66.6,
2000,Ghana,GHA,64.3,
2001,Ghana,GHA,62.1,
2002,Ghana,GHA,59.9,
2003,Ghana,GHA,58,
2004,Ghana,GHA,56.4,
2005,Ghana,GHA,54.9,
2006,Ghana,GHA,53.5,
2007,Ghana,GHA,52.1,
2008,Ghana,GHA,50.5,
2009,Ghana,GHA,48.8,
2010,Ghana,GHA,47,
2011,Ghana,GHA,45.2,
2012,Ghana,GHA,43.4,
2013,Ghana,GHA,41.8,
2014,Ghana,GHA,40.2,
2015,Ghana,GHA,38.8,
2016,Ghana,GHA,37.4,
2017,Ghana,GHA,36.2,
2018,Ghana,GHA,35,
2019,Ghana,GHA,34,
2020,Ghana,GHA,33,
1960,Finland,FIN,21.9,
1961,Finland,FIN,20.6,
1962,Finland,FIN,19.4,
1963,Finland,FIN,18.4,
1964,Finland,FIN,17.4,
1965,Finland,FIN,16.5,
1966,Finland,FIN,15.8,
1967,Finland,FIN,15,
1968,Finland,FIN,14.4,
1969,Finland,FIN,13.8,
1970,Finland,FIN,13.2,
1971,Finland,FIN,12.6,
1972,Finland,FIN,12,
1973,Finland,FIN,11.4,
1974,Finland,FIN,10.7,
1975,Finland,FIN,10.1,
1976,Finland,FIN,9.4,
1977,Finland,FIN,8.7,
1978,Finland,FIN,8.1,
1979,Finland,FIN,7.6,
1980,Finland,FIN,7.1,
1981,Finland,FIN,6.8,
1982,Finland,FIN,6.5,
1983,Finland,FIN,6.3,
1984,Finland,FIN,6.1,
1985,Finland,FIN,6,
1986,Finland,FIN,6,
1987,Finland,FIN,5.9,
1988,Finland,FIN,5.8,
1989,Finland,FIN,5.7,
1990,Finland,FIN,5.5,
1991,Finland,FIN,5.3,
1992,Finland,FIN,5,
1993,Finland,FIN,4.8,
1994,Finland,FIN,4.5,
1995,Finland,FIN,4.3,
1996,Finland,FIN,4.1,
1997,Finland,FIN,3.9,
1998,Finland,FIN,3.7,
1999,Finland,FIN,3.6,
2000,Finland,FIN,3.5,
2001,Finland,FIN,3.4,
2002,Finland,FIN,3.3,
2003,Finland,FIN,3.3,
2004,Finland,FIN,3.2,
2005,Finland,FIN,3.1,
2006,Finland,FIN,3,
2007,Finland,FIN,2.8,
2008,Finland,FIN,2.7,
2009,Finland,FIN,2.6,
2010,Finland,FIN,2.5,
2011,Finland,FIN,2.4,
2012,Finland,FIN,2.3,
2013,Finland,FIN,2.2,
2014,Finland,FIN,2.1,
2015,Finland,FIN,2,
2016,Finland,FIN,2,
2017,Finland,FIN,2,
2018,Finland,FIN,1.9,
2019,Finland,FIN,1.9,
2020,Finland,FIN,1.9,
1975,Georgia,GEO,58.8,
1976,Georgia,GEO,56.8,
1977,Georgia,GEO,55,
1978,Georgia,GEO,53.1,
1979,Georgia,GEO,51.5,
1980,Georgia,GEO,49.8,
1981,Georgia,GEO,48.2,
1982,Georgia,GEO,46.7,
1983,Georgia,GEO,45.3,
1984,Georgia,GEO,44.1,
1985,Georgia,GEO,43.1,
1986,Georgia,GEO,42.4,
1987,Georgia,GEO,41.9,
1988,Georgia,GEO,41.5,
1989,Georgia,GEO,41.2,
1990,Georgia,GEO,41,
1991,Georgia,GEO,40.7,
1992,Georgia,GEO,40.4,
1993,Georgia,GEO,40,
1994,Georgia,GEO,39.5,
1995,Georgia,GEO,38.8,
1996,Georgia,GEO,37.9,
1997,Georgia,GEO,36.7,
1998,Georgia,GEO,35.3,
1999,Georgia,GEO,33.7,
2000,Georgia,GEO,31.9,
2001,Georgia,GEO,29.9,
2002,Georgia,GEO,27.7,
2003,Georgia,GEO,25.5,
2004,Georgia,GEO,23.2,
2005,Georgia,GEO,21,
2006,Georgia,GEO,19,
2007,Georgia,GEO,17.1,
2008,Georgia,GEO,15.4,
2009,Georgia,GEO,13.9,
2010,Georgia,GEO,12.7,
2011,Georgia,GEO,11.6,
2012,Georgia,GEO,10.8,
2013,Georgia,GEO,10.2,
2014,Georgia,GEO,9.7,
2015,Georgia,GEO,9.4,
2016,Georgia,GEO,9.1,
2017,Georgia,GEO,8.8,
2018,Georgia,GEO,8.7,
2019,Georgia,GEO,8.4,
2020,Georgia,GEO,8.2,
1967,Gabon,GAB,107.9,
1968,Gabon,GAB,105.1,
1969,Gabon,GAB,102.2,
1970,Gabon,GAB,99.5,
1971,Gabon,GAB,96.8,
